[2024-05-20T00:38:37.669] [ERROR] http - ::ffff:107.170.239.48 - - "GET / HTTP/1.1" 404 - "" "Mozilla/5.0 zgrab/0.x"
[2024-05-20T02:35:00.319] [ERROR] http - ::ffff:198.235.24.14 - - "GET / HTTP/1.1" 404 - "" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
[2024-05-20T08:17:45.126] [ERROR] http - ::ffff:64.62.197.192 - - "GET / HTTP/1.1" 404 - "" "Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"
[2024-05-20T08:18:04.142] [ERROR] http - ::ffff:64.62.197.185 - - "GET /favicon.ico HTTP/1.1" 404 - "" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
[2024-05-20T08:18:07.135] [ERROR] http - ::ffff:64.62.197.185 - - "GET http://api.ipify.org/?format=json HTTP/1.1" 404 - "" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.254] [INFO] http - ::1 - - "OPTIONS /pageviews HTTP/1.1" 204 - "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.395] [INFO] http - ::1 - - "GET /articles?offset=0&limit=10 HTTP/1.1" 200 1601 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.403] [INFO] http - ::1 - - "GET /users/1 HTTP/1.1" 200 391 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.409] [INFO] http - ::1 - - "GET /statistics HTTP/1.1" 200 104 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.418] [INFO] http - ::1 - - "GET /pageviews/uv HTTP/1.1" 200 66 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
[2024-05-20T09:16:19.424] [INFO] http - ::1 - - "POST /pageviews HTTP/1.1" 200 68 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
